
Ago. | GTYPE:gaz_month | G_LEMMA:Agosto | SURFACE:Ago. | G_NUM_BASE:08 | G_LANG:ES
Sep. | GTYPE:gaz_month | G_LEMMA:Septiempre | SURFACE:Sep. | G_NUM_BASE:09 | G_LANG:ES
Oct. | GTYPE:gaz_month | G_LEMMA:Octubre | SURFACE:Oct. | G_NUM_BASE:10 | G_LANG:ES
Nov. | GTYPE:gaz_month | G_LEMMA:Noviembre | SURFACE:Nov. | G_NUM_BASE:11 | G_LANG:ES
Dic. | GTYPE:gaz_month | G_LEMMA:Diciembre | SURFACE:Dic. | G_NUM_BASE:12 | G_LANG:ES

Januar | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:Januar | G_LANG:DE
Februar | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:Februar | G_LANG:DE
März | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:März | G_LANG:DE
April | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:April | G_LANG:DE
Mai | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:Mai | G_LANG:DE
Juni | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:Juni | G_LANG:DE
Juli | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:Juli | G_LANG:DE
August | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:August | G_LANG:DE
September | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:September | G_LANG:DE
Oktober | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:Oktober | G_LANG:DE
November | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:November | G_LANG:DE
Dezember | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:Dezember | G_LANG:DE

Jan. | GTYPE:gaz_month | G_LEMMA:Januar | G_NUM_BASE:01 | SURFACE:Jan. | G_LANG:DE
Jän. | GTYPE:gaz_month | G_LEMMA:Januar | G_NUM_BASE:01 | SURFACE:Jän. | G_LANG:DE
Feb. | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:Feb. | G_LANG:DE
Apr. | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:Apr. | G_LANG:DE
Aug. | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:Aug. | G_LANG:DE
Sept. | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:Sept. | G_LANG:DE
Okt. | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:Okt. | G_LANG:DE
Nov. | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:Nov. | G_LANG:DE
Dez. | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:Dez. | G_LANG:DE

януари | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:януари | G_LANG:BG
февруари | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:февруари | G_LANG:BG
март | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:март | G_LANG:BG
април | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:април | G_LANG:BG
май | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:май | G_LANG:BG
юни | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:юни | G_LANG:BG
юли | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:юли | G_LANG:BG
август | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:август | G_LANG:BG
септември | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:септември | G_LANG:BG
октомври | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:октомври | G_LANG:BG
ноември | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:ноември | G_LANG:BG
декември | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:декември | G_LANG:BG

janvier | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:janvier | G_LANG:FR
février | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:février | G_LANG:FR
mars | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:mars | G_LANG:FR
avril | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:avril | G_LANG:FR
mai | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:mai | G_LANG:FR
juin | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:juin | G_LANG:FR
juillet | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:juillet | G_LANG:FR
août | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:août | G_LANG:FR
septembre | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:septembre | G_LANG:FR
octobre | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:octobre | G_LANG:FR
novembre | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:novembre | G_LANG:FR
décembre | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:décembre | G_LANG:FR

Janvier | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:Janvier | G_LANG:FR
Février | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:Février | G_LANG:FR
Mars | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:Mars | G_LANG:FR
Avril | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:Avril | G_LANG:FR
Mai | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:Mai | G_LANG:FR
Juin | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:Juin | G_LANG:FR
Juillet | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:Juillet | G_LANG:FR
Août | GTYPE:gaz_month | G_LEMMA:August | G_NUM_BASE:08 | SURFACE:Août | G_LANG:FR
Septembre | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:Septembre | G_LANG:FR
Octobre | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:Octobre | G_LANG:FR
Novembre | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:Novembre | G_LANG:FR
Décembre | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:Décembre | G_LANG:FR

janv. | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:janv. | G_LANG:FR
févr. | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:févr. | G_LANG:FR
juil. | GTYPE:gaz_month | G_LEMMA:July | G_NUM_BASE:07 | SURFACE:juil. | G_LANG:FR
sept. | GTYPE:gaz_month | G_LEMMA:September | G_NUM_BASE:09 | SURFACE:Sept. | G_LANG:FR
oct. | GTYPE:gaz_month | G_LEMMA:October | G_NUM_BASE:10 | SURFACE:oct. | G_LANG:FR
nov. | GTYPE:gaz_month | G_LEMMA:November | G_NUM_BASE:11 | SURFACE:nov. | G_LANG:FR
déc. | GTYPE:gaz_month | G_LEMMA:December | G_NUM_BASE:12 | SURFACE:déc. | G_LANG:FR

Gennaio | GTYPE:gaz_month | G_LEMMA:January | G_NUM_BASE:01 | SURFACE:Gennaio | G_LANG:IT
Febbraio | GTYPE:gaz_month | G_LEMMA:February | G_NUM_BASE:02 | SURFACE:Febbraio | G_LANG:IT
Marzo | GTYPE:gaz_month | G_LEMMA:March | G_NUM_BASE:03 | SURFACE:Marzo | G_LANG:IT
Aprile | GTYPE:gaz_month | G_LEMMA:April | G_NUM_BASE:04 | SURFACE:Aprile | G_LANG:IT
Maggio | GTYPE:gaz_month | G_LEMMA:May | G_NUM_BASE:05 | SURFACE:Maggio | G_LANG:IT
Giugno | GTYPE:gaz_month | G_LEMMA:June | G_NUM_BASE:06 | SURFACE:Giugno | G_LANG:IT
